title,abstract,authors,categories
Non-monotone convergence in the quadratic Wasserstein distance,"  We give an easy counter-example to Problem 7.20 from C. Villani's book on
mass transport: in general, the quadratic Wasserstein distance between $n$-fold
normalized convolutions of two given measures fails to decrease monotonically.
","Walter Schachermayer, Uwe Schmock, Josef Teichmann",math.PR
The bimodality of type Ia Supernovae,"  We comment on the presence of a bimodality in the distribution of delay time
between the formation of the progenitors and their explosion as type Ia SNe.
Two ""flavors"" of such bimodality are present in the literature: a ""weak""
bimodality, in which type Ia SNe must explode from both young and old
progenitors, and a ""strong"" bimodality, in which about half of the systems
explode within 10^8 years from formation. The ""weak"" bimodality is
observationally based on the dependence of the rates with the host galaxy SFR,
while the ""strong"" one on the different rates in radio-loud and radio-quiet
early-type galaxies. We review the evidence for these bimodalities. Finally, we
estimate the fraction of SNe which are missed by optical and near-IR searches
because of dust extinction in massive starbursts.
","F. Mannucci, N. Panagia, M. Della Valle",astro-ph
Structural relaxation around substitutional Cr3+ in MgAl2O4,"  The structural environment of substitutional Cr3+ ion in MgAl2O4 spinel has
been investigated by Cr K-edge Extended X-ray Absorption Fine Structure (EXAFS)
and X-ray Absorption Near Edge Structure (XANES) spectroscopies.
First-principles computations of the structural relaxation and of the XANES
spectrum have been performed, with a good agreement to the experiment. The Cr-O
distance is close to that in MgCr2O4, indicating a full relaxation of the first
neighbors, and the second shell of Al atoms relaxes partially. These
observations demonstrate that Vegard's law is not obeyed in the MgAl2O4-MgCr2O4
solid solution. Despite some angular site distortion, the local D3d symmetry of
the B-site of the spinel structure is retained during the substitution of Cr
for Al. Here, we show that the relaxation is accomodated by strain-induced bond
buckling, with angular tilts of the Mg-centred tetrahedra around the Cr-centred
octahedron. By contrast, there is no significant alteration of the angles
between the edge-sharing octahedra, which build chains aligned along the three
four-fold axes of the cubic structure.
","Am\'elie Juhin (IMPMC), Georges Calas (IMPMC), Delphine Cabaret
  (IMPMC), Laurence Galoisy (IMPMC), Jean-Louis Hazemann",cond-mat.mtrl-sci
"A Hierarchical Approach for Dependability Analysis of a Commercial
  Cache-Based RAID Storage Architecture","  We present a hierarchical simulation approach for the dependability analysis
and evaluation of a highly available commercial cache-based RAID storage
system. The archi-tecture is complex and includes several layers of
overlap-ping error detection and recovery mechanisms. Three ab-straction levels
have been developed to model the cache architecture, cache operations, and
error detection and recovery mechanism. The impact of faults and errors
oc-curring in the cache and in the disks is analyzed at each level of the
hierarchy. A simulation submodel is associated with each abstraction level. The
models have been devel-oped using DEPEND, a simulation-based environment for
system-level dependability analysis, which provides facili-ties to inject
faults into a functional behavior model, to simulate error detection and
recovery mechanisms, and to evaluate quantitative measures. Several fault
models are defined for each submodel to simulate cache component failures, disk
failures, transmission errors, and data errors in the cache memory and in the
disks. Some of the parame-ters characterizing fault injection in a given
submodel cor-respond to probabilities evaluated from the simulation of the
lower-level submodel. Based on the proposed method-ology, we evaluate and
analyze 1) the system behavior un-der a real workload and high error rate
(focusing on error bursts), 2) the coverage of the error detection mechanisms
implemented in the system and the error latency distribu-tions, and 3) the
accumulation of errors in the cache and in the disks.
","Mohamed Kaaniche (LAAS), Luigi Romano (UIUC), Zbigniew Kalbarczyk
  (UIUC), Ravishankar Iyer (UIUC), Rick Karcich (STORAGETEK)",cs.PF
Stochastic action principle and maximum entropy,"  A stochastic action principle for stochastic dynamics is revisited. We
present first numerical diffusion experiments showing that the diffusion path
probability depend exponentially on average Lagrangian action. This result is
then used to derive an uncertainty measure defined in a way mimicking the heat
or entropy in the first law of thermodynamics. It is shown that the path
uncertainty (or path entropy) can be measured by the Shannon information and
that the maximum entropy principle and the least action principle of classical
mechanics can be unified into a concise form. It is argued that this action
principle, hence the maximum entropy principle, is simply a consequence of the
mechanical equilibrium condition extended to the case of stochastic dynamics.
","Q. A. Wang (ISMANS), F. Tsobnang (ISMANS), S. Bangoup (ISMANS), F.
  Dzangue (ISMANS), A. Jeatsa (ISMANS), A. Le M\'ehaut\'e (ISMANS)",cond-mat.stat-mech
Constraining the Dark Energy Equation of State with Cosmic Voids,"  Our universe is observed to be accelerating due to the dominant dark energy
with negative pressure. The dark energy equation of state (w) holds a key to
understanding the ultimate fate of the universe. The cosmic voids behave like
bubbles in the universe so that their shapes must be quite sensitive to the
background cosmology. Assuming a flat universe and using the priors on the
matter density parameter (Omega_m) and the dimensionless Hubble parameter (h),
we demonstrate analytically that the ellipticity evolution of cosmic voids may
be a sensitive probe of the dark energy equation of state. We also discuss the
parameter degeneracy between w and Omega_m.
","Jounghun Lee, Daeseong Park (Seoul Nat'l Univ.)",astro-ph
A Dark Energy model combining DGP gravity and Chaplygin gas,"  The expansion of the Universe is accelerating, as testified by observations
of supernovae of type Ia as a function of redshift. Explanations are of two
types: modifications of Einstein gravity or new forms of energy, coined dark
energy.The accelerated expansion is explained here by a combination of
Dvali-Gabadadze-Porrati (DGP) model gravity and Chaplygin gas dark energy. Both
models are characterized by a length scale L which may be the same. The
continuity equation for the combined model is derived in flat geometry, and
solved by numerical methods. The solution is shown to have the expected
properties: at very small scales (a<<L) the energy density behaves as
pressureless dust, at very large scales (a>>L) as a cosmological constant. The
modifications to the DGP model and the Chaplygin gas model occur for values of
a L. The results show an increase in the present dark energy density relative
to the plain DGP model.
",Matts Roos,astro-ph
Gauge-Higgs Unification and LHC/ILC,"  In the gauge-Higgs unification scenario the 4D Higgs field is identified with
the zero mode of the extra-dimensional component of gauge potentials. The mass
of the Higgs particle in the unification in the Randall-Sundrum warped
spacetime is predicted to be in the range 100 GeV - 300 GeV. The WWZ gauge
couplings remains almost universal as in the standard model, but substantial
deviation results for the Higgs couplings. The WWH and ZZH couplings are
suppressed by a factor \cos \theta_H from the values in the standard model,
where \theta_H is the Yang-Mills AB phase along the fifth dimension. These can
be tested at LHC and ILC.
",Yutaka Hosotani,hep-ph
"Extension theorems of Sakai type for separately holomorphic and
  meromorphic functions","  We first exhibit counterexamples to some open questions related to a theorem
of Sakai.
  Then we establish an extension theorem of Sakai type for separately
holomorphic/meromorphic functions.
",Peter Pflug and Viet-Anh Nguyen,math.CV
Uniform measures and countably additive measures,"  Uniform measures are defined as the functionals on the space of bounded
uniformly continuous functions that are continuous on bounded uniformly
equicontinuous sets. If every cardinal has measure zero then every countably
additive measure is a uniform measure. The functionals sequentially continuous
on bounded uniformly equicontinuous sets are exactly uniform measures on the
separable modification of the underlying uniform space.
",Jan Pachl,math.FA math.GN
Lower bounds for the conductivities of correlated quantum systems,"  We show how one can obtain a lower bound for the electrical, spin or heat
conductivity of correlated quantum systems described by Hamiltonians of the
form H = H0 + g H1. Here H0 is an interacting Hamiltonian characterized by
conservation laws which lead to an infinite conductivity for g=0. The small
perturbation g H1, however, renders the conductivity finite at finite
temperatures. For example, H0 could be a continuum field theory, where momentum
is conserved, or an integrable one-dimensional model while H1 might describe
the effects of weak disorder. In the limit g to 0, we derive lower bounds for
the relevant conductivities and show how they can be improved systematically
using the memory matrix formalism. Furthermore, we discuss various applications
and investigate under what conditions our lower bound may become exact.
",Peter Jung and Achim Rosch,cond-mat.str-el
Non-extensive thermodynamics of 1D systems with long-range interaction,"  A new approach to non-extensive thermodynamical systems with non-additive
energy and entropy is proposed. The main idea of the paper is based on the
statistical matching of the thermodynamical systems with the additive
multi-step Markov chains. This general approach is applied to the Ising spin
chain with long-range interaction between its elements. The asymptotical
expressions for the energy and entropy of the system are derived for the
limiting case of weak interaction. These thermodynamical quantities are found
to be non-proportional to the length of the system (number of its particle).
","S. S. Apostolov, Z. A. Mayzelis, O. V. Usatenko, V. A. Yampol'skii",physics.data-an physics.gen-ph
"NMR evidence for a strong modulation of the Bose-Einstein Condensate in
  BaCuSi$_2$O$_6$","  We present a $^{63,65}$Cu and $^{29}$Si NMR study of the quasi-2D coupled
spin 1/2 dimer compound BaCuSi$_2$O$_6$ in the magnetic field range 13-26 T and
at temperatures as low as 50 mK. NMR data in the gapped phase reveal that below
90 K different intra-dimer exchange couplings and different gaps
($\Delta_{\rm{B}}/\Delta_{\rm{A}}$ = 1.16) exist in every second plane along
the c-axis, in addition to a planar incommensurate (IC) modulation. $^{29}$Si
spectra in the field induced magnetic ordered phase reveal that close to the
quantum critical point at $H_{\rm{c1}}$ = 23.35 T the average boson density
$\bar{n}$ of the Bose-Einstein condensate is strongly modulated along the
c-axis with a density ratio for every second plane
$\bar{n}_{\rm{A}}/\bar{n}_{\rm{B}} \simeq 5$. An IC modulation of the local
density is also present in each plane. This adds new constraints for the
understanding of the 2D value $\phi$ = 1 of the critical exponent describing
the phase boundary.
","S. Kramer (LCMI), R. Stern, M. Horvatic (LCMI), C. Berthier (LCMI), T.
  Kimura (LANL), I.R. Fisher",cond-mat.str-el
"Bibliometric statistical properties of the 100 largest European
  universities: prevalent scaling rules in the science system","  For the 100 largest European universities we studied the statistical
properties of bibliometric indicators related to research performance, field
citation density and journal impact. We find a size-dependent cumulative
advantage for the impact of universities in terms of total number of citations.
In previous work a similar scaling rule was found at the level of research
groups. Therefore we conjecture that this scaling rule is a prevalent property
of the science system. We observe that lower performance universities have a
larger size-dependent cumulative advantage for receiving citations than
top-performance universities. We also find that for the lower-performance
universities the fraction of not-cited publications decreases considerably with
size. Generally, the higher the average journal impact of the publications of a
university, the lower the number of not-cited publications. We find that the
average research performance does not dilute with size. Large top-performance
universities succeed in keeping a high performance over a broad range of
activities. This most probably is an indication of their scientific attractive
power. Next we find that particularly for the lower-performance universities
the field citation density provides a strong cumulative advantage in citations
per publication. The relation between number of citations and field citation
density found in this study can be considered as a second basic scaling rule of
the science system. Top-performance universities publish in journals with
significantly higher journal impact as compared to the lower performance
universities. We find a significant decrease of the fraction of self-citations
with increasing research performance, average field citation density, and
average journal impact.
",Anthony F. J. van Raan,physics.data-an physics.soc-ph
On the Origin of Asymmetries in Bilateral Supernova Remnants,"  AIMS: We investigate whether the morphology of bilateral supernova remnants
(BSNRs) observed in the radio band is determined mainly either by a non-uniform
interstellar medium (ISM) or by a non-uniform ambient magnetic field.
  METHODS: We perform 3-D MHD simulations of a spherical SNR shock propagating
through a magnetized ISM. Two cases of shock propagation are considered: 1)
through a gradient of ambient density with a uniform ambient magnetic field; 2)
through a homogeneous medium with a gradient of ambient magnetic field
strength. From the simulations, we synthesize the synchrotron radio emission,
making different assumptions about the details of acceleration and injection of
relativistic electrons.
  RESULTS: We find that asymmetric BSNRs are produced if the line-of-sight is
not aligned with the gradient of ambient plasma density or with the gradient of
ambient magnetic field strength. We derive useful parameters to quantify the
degree of asymmetry of the remnants that may provide a powerful diagnostic of
the microphysics of strong shock waves through the comparison between models
and observations.
  CONCLUSIONS: BSNRs with two radio limbs of different brightness can be
explained if a gradient of ambient density or, most likely, of ambient magnetic
field strength is perpendicular to the radio limbs. BSNRs with converging
similar radio arcs can be explained if the gradient runs between the two arcs.
","S. Orlando, F. Bocchino, F. Reale, G. Peres, O. Petruk",astro-ph
Reactor Monitoring with Neutrinos,"  The fundamental knowledge on neutrinos acquired in the recent years open the
possibility of applied neutrino physics. Among it the automatic and non
intrusive monitoring of nuclear reactor by its antineutrino signal could be
very valuable to IAEA in charge of the control of nuclear power plants. Several
efforts worldwide have already started.
",M. Cribier (APC),nucl-ex
Nonstationary pattern in unsynchronizable complex networks,"  Pattern formation and evolution in unsynchronizable complex networks are
investigated. Due to the asymmetric topology, the synchronous patterns formed
in complex networks are irregular and nonstationary. For coupling strength
immediately out of the synchronizable region, the typical phenomenon is the
on-off intermittency of the system dynamics. The patterns appeared in this
process are signatured by the coexistence of a giant cluster, which comprises
most of the nodes, and a few number of small clusters. The pattern evolution is
characterized by the giant cluster irregularly absorbs or emits the small
clusters. As the coupling strength leaves away from the synchronization
bifurcation point, the giant cluster is gradually dissolved into a number of
small clusters, and the system dynamics is characterized by the integration and
separation of the small clusters. Dynamical mechanisms and statistical
properties of the nonstationary pattern evolution are analyzed and conducted,
and some scalings are newly revealed. Remarkably, it is found that the few
active nodes, which escape from the giant cluster with a high frequency, are
independent of the coupling strength while are sensitive to the bifurcation
types. We hope our findings about nonstationary pattern could give additional
understandings to the dynamics of complex systems and have implications to some
real problems where systems maintain their normal functions only in the
unsynchronizable state.
","Xingang Wang, Meng Zhan, Ghuguang Guan, and Choy Heng Lai",nlin.CD
Topological phase for spin-orbit transformations on a laser beam,"  We investigate the topological phase associated with the double connectedness
of the SO(3) representation in terms of maximally entangled states. An
experimental demonstration is provided in the context of polarization and
spatial mode transformations of a laser beam carrying orbital angular momentum.
The topological phase is evidenced through interferometric measurements and a
quantitative relationship between the concurrence and the fringes visibility is
derived. Both the quantum and the classical regimes were investigated.
","C.E.R. Souza, J.A.O. Huguenin, P. Milman, and A.Z. Khoury",quant-ph
"The Solar Neighborhood. XIX. Discovery and Characterization of 33 New
  Nearby White Dwarf Systems","  We present spectra for 33 previously unclassified white dwarf systems
brighter than V = 17 primarily in the southern hemisphere. Of these new
systems, 26 are DA, 4 are DC, 2 are DZ, and 1 is DQ. We suspect three of these
systems are unresolved double degenerates. We obtained VRI photometry for these
33 objects as well as for 23 known white dwarf systems without trigonometric
parallaxes, also primarily in the southern hemisphere. For the 56 objects, we
converted the photometry values to fluxes and fit them to a spectral energy
distribution using the spectroscopy to determine which model to use (i.e. pure
hydrogen, pure helium, or metal-rich helium), resulting in estimates of
effective temperature and distance. Eight of the new and 12 known systems are
estimated to be within the NStars and Catalogue of Nearby Stars (CNS) horizons
of 25 pc, constituting a potential 18% increase in the nearby white dwarf
sample. Trigonometric parallax determinations are underway via CTIOPI for these
20 systems.
  One of the DCs is cool so that it displays absorption in the near infrared.
Using the distance determined via trigonometric parallax, we are able to
constrain the model-dependent physical parameters and find that this object is
most likely a mixed H/He atmosphere white dwarf similar to other cool white
dwarfs identified in recent years with significant absorption in the infrared
due to collision-induced absorptions by molecular hydrogen.
","John P. Subasavage (1), Todd J. Henry (1), P. Bergeron (2), P. Dufour
  (2), Nigel C. Hambly (3), Thomas D. Beaulieu (1) ((1) Georgia State
  University, (2) University of Montreal, (3) University of Edinburgh Royal
  Observatory)",astro-ph
Gorenstein locus of minuscule Schubert varieties,"  In this article, we describe explicitely the Gorenstein locus of all
minuscule Schubert varieties. This proves a special case of a conjecture of A.
Woo and A. Yong (see math.AG/0603273) on the Gorenstein locus of Schubert
varieties.
",Nicolas Perrin,math.AG math.CO
Model C critical dynamics of random anisotropy magnets,"  We study the relaxational critical dynamics of the three-dimensional random
anisotropy magnets with the non-conserved n-component order parameter coupled
to a conserved scalar density. In the random anisotropy magnets the structural
disorder is present in a form of local quenched anisotropy axes of random
orientation. When the anisotropy axes are randomly distributed along the edges
of the n-dimensional hypercube, asymptotical dynamical critical properties
coincide with those of the random-site Ising model. However structural disorder
gives rise to considerable effects for non-asymptotic critical dynamics. We
investigate this phenomenon by a field-theoretical renormalization group
analysis in the two-loop order. We study critical slowing down and obtain
quantitative estimates for the effective and asymptotic critical exponents of
the order parameter and scalar density. The results predict complex scenarios
for the effective critical exponent approaching an asymptotic regime.
","M. Dudka, R. Folk, Yu. Holovatch, G. Moser",cond-mat.dis-nn cond-mat.stat-mech
A unified approach to the theory of separately holomorphic mappings,"  We extend the theory of separately holomorphic mappings between complex
analytic spaces. Our method is based on Poletsky theory of discs, Rosay Theorem
on holomorphic discs and our recent joint-work with Pflug on cross theorems in
dimension 1. It also relies on our new technique of conformal mappings and a
generalization of Siciak's relative extremal function.
  Our approach illustrates the unified character: ``From local informations to
global extensions"". Moreover, it avoids systematically the use of the classical
method of doubly orthogonal bases of Bergman type.
",Viet-Anh Nguyen,math.CV
Higher spin algebras as higher symmetries,"  The exhaustive study of the rigid symmetries of arbitrary free field theories
is motivated, along several lines, as a preliminary step in the completion of
the higher-spin interaction problem in full generality. Some results for the
simplest example (a scalar field) are reviewed and commented along these lines.
",Xavier Bekaert,hep-th
"CalFUSE v3: A Data-Reduction Pipeline for the Far Ultraviolet
  Spectroscopic Explorer","  Since its launch in 1999, the Far Ultraviolet Spectroscopic Explorer (FUSE)
has made over 4600 observations of some 2500 individual targets. The data are
reduced by the Principal Investigator team at the Johns Hopkins University and
archived at the Multimission Archive at Space Telescope (MAST). The
data-reduction software package, called CalFUSE, has evolved considerably over
the lifetime of the mission. The entire FUSE data set has recently been
reprocessed with CalFUSE v3.2, the latest version of this software. This paper
describes CalFUSE v3.2, the instrument calibrations upon which it is based, and
the format of the resulting calibrated data files.
","W. V. Dixon (1), D. J. Sahnow (1), P. E. Barrett (2 and 3), T. Civeit
  (1 and 4), J. Dupuis (1 and 5), A. W. Fullerton (1 and 6), B. Godard (1 and
  7), J. C. Hsu (2 and 8), M. E. Kaiser (1), J. W. Kruk (1), S. Lacour (1 and
  9), D. J. Lindler (10), D. Massa (11), R. D. Robinson (1 and 8), M. L.
  Romelfanger (1), P. Sonnentrucker (1) ((1) Johns Hopkins University, (2)
  Space Telescope Science Institute, (3) U.S. Naval Observatory, (4) Centre
  National d'Etudes Spatiales, (5) Canadian Space Agency, (6) University of
  Victoria, (7) Institut d'Astrophysique de Paris, (8) Retired, (9) Sydney
  University, (10) Sigma Space Corporation, (11) SGT, Inc.)",astro-ph
Voltage-Current curves for small Josephson junction arrays,"  We compute the current voltage characteristic of a chain of identical
Josephson circuits characterized by a large ratio of Josephson to charging
energy that are envisioned as the implementation of topologically protected
qubits. We show that in the limit of small coupling to the environment it
exhibits a non-monotonous behavior with a maximum voltage followed by a
parametrically large region where $V\propto 1/I$. We argue that its
experimental measurement provides a direct probe of the amplitude of the
quantum transitions in constituting Josephson circuits and thus allows their
full characterization.
",Benoit Doucot and Lev B. Ioffe,cond-mat.supr-con cond-mat.mes-hall
"The density of critical percolation clusters touching the boundaries of
  strips and squares","  We consider the density of two-dimensional critical percolation clusters,
constrained to touch one or both boundaries, in infinite strips, half-infinite
strips, and squares, as well as several related quantities for the infinite
strip. Our theoretical results follow from conformal field theory, and are
compared with high-precision numerical simulation. For example, we show that
the density of clusters touching both boundaries of an infinite strip of unit
width (i.e. crossing clusters) is proportional to $(\sin \pi
y)^{-5/48}\{[\cos(\pi y/2)]^{1/3} +[\sin (\pi y/2)]^{1/3}-1\}$.
  We also determine numerically contours for the density of clusters crossing
squares and long rectangles with open boundaries on the sides, and compare with
theory for the density along an edge.
","Jacob J. H. Simmons, Peter Kleban, Kevin Dahlberg, Robert M. Ziff",cond-mat.dis-nn cond-mat.stat-mech
"Effective band-structure in the insulating phase versus strong dynamical
  correlations in metallic VO2","  Using a general analytical continuation scheme for cluster dynamical mean
field calculations, we analyze real-frequency self-energies, momentum-resolved
spectral functions, and one-particle excitations of the metallic and insulating
phases of VO2. While for the former dynamical correlations and lifetime effects
prevent a description in terms of quasi-particles, the excitations of the
latter allow for an effective band-structure. We construct an
orbital-dependent, but static one-particle potential that reproduces the full
many-body spectrum. Yet, the ground state is well beyond a static one-particle
description. The emerging picture gives a non-trivial answer to the decade-old
question of the nature of the insulator, which we characterize as a ``many-body
Peierls'' state.
","Jan M. Tomczak, Ferdi Aryasetiawan, and Silke Biermann",cond-mat.str-el
"New possible properties of atomic nuclei investigated by non linear
  methods: Fractal and recurrence quantification analysis","  For the first time we apply the methodologies of nonlinear analysis to
investigate atomic matter. We use these methods in the analysis of Atomic
Weights and of Mass Number of atomic nuclei. Using the AutoCorrelation Function
and Mutual Information we establish the presence of nonlinear effects in the
mechanism of increasing mass of atomic nuclei considered as a function of the
atomic number. We find that increasing mass is divergent, possibly chaotic. We
also investigate the possible existence of a Power Law for atomic nuclei and,
using also the technique of the variogram, we conclude that a fractal regime
could superintend to the mechanism of increasing mass for nuclei. Finally,
using the Hurst exponent, evidence is obtained that the mechanism of increasing
mass in atomic nuclei is in the fractional Brownian regime. The most
interesting results are obtained by using Recurrence Quantification Analysis
(RQA). New recurrences, psudoperiodicities, self-resemblance and class of
self-similarities are identified with values of determinism showing oscillating
values indicating the presence of more or less stability during the process of
increasing mass of atomic nuclei. In brief, new regimes of regularities are
identified for atomic nuclei that deserve to be studied by future researches.
In particular an accurate analysis of binding energy values by nonlinear
methods is further required.
","Elio Conte, Andrei Yu. Khrennikov, Joseph P. Zbilut",physics.gen-ph
"The Use of Weighting in Periodicity Searches in All-Sky Monitor Data:
  Applications to the GLAST LAT","  The light curves produced by all-sky monitors, such as the Rossi X-ray Timing
Explorer All-Sky Monitor and the Swift Burst Alert Telescope (BAT), generally
have non-uniform error bars. In searching for periodic modulation in this type
of data using power spectra it can be important to use appropriate weighting of
data points to achieve the best sensitivity. It was recently demonstrated that
for Swift BAT data a simple weighting scheme can actually sometimes reduce the
sensitivity of the power spectrum depending on source brightness. Instead, a
modified weighting scheme, based on the Cochran semi-weighted mean, gives
improved results independent of source brightness. We investigate the benefits
of weighting power spectra in period searches using simulated GLAST LAT
observations of gamma-ray binaries.
","Robin Corbet, Richard Dubois",astro-ph
"Dielectronic Recombination of Fe XV forming Fe XIV: Laboratory
  Measurements and Theoretical Calculations","  We have measured resonance strengths and energies for dielectronic
recombination (DR) of Mg-like Fe XV forming Al-like Fe XIV via N=3 -> N' = 3
core excitations in the electron-ion collision energy range 0-45 eV. All
measurements were carried out using the heavy-ion Test Storage Ring at the Max
Planck Institute for Nuclear Physics in Heidelberg, Germany. We have also
carried out new multiconfiguration Breit-Pauli (MCBP) calculations using the
AUTOSTRUCTURE code. For electron-ion collision energies < 25 eV we find poor
agreement between our experimental and theoretical resonance energies and
strengths. From 25 to 42 eV we find good agreement between the two for
resonance energies. But in this energy range the theoretical resonance
strengths are ~ 31% larger than the experimental results. This is larger than
our estimated total experimental uncertainty in this energy range of +/- 26%
(at a 90% confidence level). Above 42 eV the difference in the shape between
the calculated and measured 3s3p(^1P_1)nl DR series limit we attribute partly
to the nl dependence of the detection probabilities of high Rydberg states in
the experiment. We have used our measurements, supplemented by our
AUTOSTRUCTURE calculations, to produce a Maxwellian-averaged 3 -> 3 DR rate
coefficient for Fe XV forming Fe XIV. The resulting rate coefficient is
estimated to be accurate to better than +/- 29% (at a 90% confidence level) for
k_BT_e > 1 eV. At temperatures of k_BT_e ~ 2.5-15 eV, where Fe XV is predicted
to form in photoionized plasmas, significant discrepancies are found between
our experimentally-derived rate coefficient and previously published
theoretical results. Our new MCBP plasma rate coefficient is 19-28% smaller
than our experimental results over this temperature range.
","D. V. Luki\'c, M. Schnell, D. W. Savin, C. Brandau, E. W. Schmidt, S.
  B\""ohm, A. M\""uller, S. Schippers, M. Lestinsky, F. Sprenger, A. Wolf, Z.
  Altun, N. R. Badnell",astro-ph
"Metropolis algorithm and equienergy sampling for two mean field spin
  systems","  In this paper we study the Metropolis algorithm in connection with two
mean--field spin systems, the so called mean--field Ising model and the
Blume--Emery--Griffiths model. In both this examples the naive choice of
proposal chain gives rise, for some parameters, to a slowly mixing Metropolis
chain, that is a chain whose spectral gap decreases exponentially fast (in the
dimension $N$ of the problem). Here we show how a slight variant in the
proposal chain can avoid this problem, keeping the mean computational cost
similar to the cost of the usual Metropolis. More precisely we prove that, with
a suitable variant in the proposal, the Metropolis chain has a spectral gap
which decreases polynomially in 1/N. Using some symmetry structure of the
energy, the method rests on allowing appropriate jumps within the energy level
of the starting state.
","Bassetti Federico, Leisen Fabrizio",math.PR math.ST stat.CO stat.TH
"Experimental Test of the High-Frequency Quantum Shot Noise Theory in a
  Quantum Point Contact","  We report on direct measurements of the electronic shot noise of a quantum
point contact at frequencies nu in the range 4-8 GHz. The very small energy
scale used ensures energy independent transmissions of the few transmitted
electronic modes and their accurate knowledge. Both the thermal energy and the
quantum point contact drain-source voltage Vds are comparable to the photon
energy hnu leading to observation of the shot noise suppression when
$V_{ds}<h\nu/e$. Our measurements provide the first complete test of the finite
frequency shot noise scattering theory without adjustable parameters.
","Eva Zakka-Bajjani (SPEC), Julien Segala (SPEC), Fabien Portier (SPEC),
  Patrice Roche (SPEC), Christian Glattli (SPEC), Antonella Cavanna (LPN), Yong
  Jin (LPN)",cond-mat.mes-hall
Extragalactic Radio Sources and the WMAP Cold Spot,"  We detect a dip of 20-45% in the surface brightness and number counts of NVSS
sources smoothed to a few degrees at the location of the WMAP cold spot. The
dip has structure on scales of approximately 1-10 degrees. Together with
independent all-sky wavelet analyses, our results suggest that the dip in
extragalactic brightness and number counts and the WMAP cold spot are
physically related, i.e., that the coincidence is neither a statistical anomaly
nor a WMAP foreground correction problem. If the cold spot does originate from
structures at modest redshifts, as we suggest, then there is no remaining need
for non-Gaussian processes at the last scattering surface of the CMB to explain
the cold spot. The late integrated Sachs-Wolfe effect, already seen
statistically for NVSS source counts, can now be seen to operate on a single
region. To create the magnitude and angular size of the WMAP cold spot requires
a ~140 Mpc radius completely empty void at z<=1 along this line of sight. This
is far outside the current expectations of the concordance cosmology, and adds
to the anomalies seen in the CMB.
","Lawrence Rudnick, Shea Brown, and Liliya R. Williams",astro-ph
L^2 rho form for normal coverings of fibre bundles,"  We define the secondary invariants L^2- eta and -rho forms for families of
generalized Dirac operators on normal coverings of fibre bundles. On the
covering family we assume transversally smooth spectral projections, and
Novikov--Shubin invariants bigger than 3(dim B+1) to treat the large time
asymptotic for general operators. In the particular case of a bundle of spin
manifolds, we study the L^2- rho class in relation to the space of positive
scalar curvature vertical metrics.
",Sara Azzali,math.GT math.DG
"On the Nonexistence of Nontrivial Involutive n-Homomorphisms of
  C*-algebras","  An n-homomorphism between algebras is a linear map $\phi : A \to B$ such that
$\phi(a_1 ... a_n) = \phi(a_1)... \phi(a_n)$ for all elements $a_1, >..., a_n
\in A.$ Every homomorphism is an n-homomorphism, for all n >= 2, but the
converse is false, in general. Hejazian et al. [7] ask: Is every *-preserving
n-homomorphism between C*-algebras continuous? We answer their question in the
affirmative, but the even and odd n arguments are surprisingly disjoint. We
then use these results to prove stronger ones: If n >2 is even, then $\phi$ is
just an ordinary *-homomorphism. If n >= 3 is odd, then $\phi$ is a difference
of two orthogonal *-homomorphisms. Thus, there are no nontrivial *-linear
n-homomorphisms between C*-algebras.
",Efton Park and Jody Trout,math.OA math.FA
Smooth and Starburst Tidal Tails in the GEMS and GOODS Fields,"  GEMS and GOODS fields were examined to z~1.4 for galaxy interactions and
mergers. The basic morphologies are familiar: antennae with long tidal tails,
tidal dwarfs, and merged cores; M51-type galaxies with disk spirals and tidal
arm companions; early-type galaxies with diffuse plumes; equal-mass
grazing-collisions; and thick J-shaped tails beaded with star formation and
double cores. One type is not common locally and is apparently a loose
assemblage of smaller galaxies. Photometric measurements were made of the tails
and clumps, and physical sizes were determined assuming photometric redshifts.
Antennae tails are a factor of ~3 smaller in GEMS and GOODS systems compared to
local antennae; their disks are a factor of ~2 smaller than locally. Collisions
among early type galaxies generally show no fine structure in their tails,
indicating that stellar debris is usually not unstable. One exception has a
5x10**9 Msun smooth red clump that could be a pure stellar condensation. Most
tidal dwarfs are blue and probably form by gravitational instabilities in the
gas. One tidal dwarf looks like it existed previously and was incorporated into
the arm tip by tidal forces. The star-forming regions in tidal arms are 10 to
1000 times more massive than star complexes in local galaxies, although their
separations are about the same. If they all form by gravitational
instabilities, then the gaseous velocity dispersions in interacting galaxies
have to be larger than in local galaxies by a factor of ~5 or more; the gas
column densities have to be larger by the square of this factor.
","Debra Meloy Elmegreen (1), Bruce G. Elmegreen (2), Thomas Ferguson
  (1), Brendan Mullan (1,3) ((1) Vassar College, (2) IBM T.J. Watson Research
  Center, (3) Colgate University)",astro-ph
